NAME	B cells	CD8 T cells	CD4 T cells	NK cells	Monocytes	Neutrophils
NCR3	25.18364524	38.8745671	4.44805951	88.30549219	1	1
NELL2	1	294.3087769	179.583954	1.329802769	1	1
NFAM1	3.495331019	1	1	1	556.174074	743.3988432
NFATC2	77.71389483	164.5910844	132.2352948	365.3301864	1	1
NFE2	1	1	1	3.216570512	71.94789488	346.3705599
NID1	1	1	1	1	79.92512757	1
NKG7	1	619.006793	10.17138437	2514.269931	8.397024732	12.66691052
NLGN2	1	19.95691082	16.97020561	3.77464174	1	1
NLRC3	127.6383323	282.1282355	255.1394526	440.8521425	1	1
NLRP12	1	1	1	1.953482568	90.71743599	198.3833473
NLRP3	1	2.670612303	2.498964443	3.546150172	372.236976	53.24168453
NMUR1	1	11.49149859	1	223.7180376	1	1
NPDC1	1	77.95235004	71.76246192	1.905581581	2.450746095	1
NR3C2	21.7248588	60.61511523	49.91994665	2.510113916	1	1
NRGN	2.007331397	1	1	1	135.8455808	9.090687121
NT5E	82.25941646	20.94182025	3.43296727	1	1	1
OAF	1	2.097432405	1.431676858	1.499101366	72.78611575	1
OBSCN	63.7015109	158.9770829	237.1246073	37.67835376	4.938745869	1
OSBPL10	157.5994168	1	1	1	1	1
OSBPL5	1	70.09655026	5.894641252	450.2511304	43.42187113	16.41633708
OSCAR	1	1	1	1.425818733	173.0842061	107.8233017
OXNAD1	5.489553419	201.3571236	194.461492	26.35971072	5.17256765	7.074157365
P2RX5	308.7290653	8.518345101	6.883984782	2.918983492	1.690428562	1
P2RY13	1	1	1	1	85.52360986	430.3385079
PADI2	1	1	1	1	126.377896	524.1497343
PADI4	1	2.588388358	1	1.797270628	132.3979207	260.6035214
PANX2	1	1	1	1	6.68519971	114.8673882
PARM1	40.39688662	1	1	1	1	1
PAWR	83.45932691	1.865273456	2.369917969	2.724429368	1	4.648645763
PAX5	1341.364486	1	1	1	1	1
PCDH1	1.009248276	2.347131029	1.006152898	30.06187424	1.079696817	2.997153216
PCDH9	58.59662528	1.003076449	1.006152898	1.012343653	1.079696817	2.997153216
PCED1B	12.08099737	81.91305539	90.80978523	15.23076094	1	1
PDGFD	1	6.424232635	1	59.60585361	1	1
PDGFRB	1	3.506856178	1	65.14671434	1	1.137479629
PDLIM1	127.0057989	2.644615383	1	10.32911097	2.743863255	1
PDZD4	1	114.8208917	60.74875171	393.1714619	1	1
PEG10	59.5743951	1.006152898	1.006152898	1.006152898	1.076385372	2.974349421
PGLYRP1	1	1	1	1	1	105.5434765
PHOSPHO1	1	2.784452262	1	16.11256487	7.506116378	388.4951813
PI16	1.703937331	2.334414617	19.23499294	1	1	1
PI3	1	1	1	1	1	115.6777507
PID1	1	1	1	1	65.32859426	1
PKIG	101.6198745	2.168538808	1.649953131	1	1	1
PLAUR	1	1.145016751	1	1.609477701	414.660327	174.4358197
PLBD1	1.086453447	1	1	1	591.1766338	308.7896204
PLCG1	79.12886672	581.9431041	577.2553664	172.5991349	1.812211062	1
PLCH2	32.15437225	81.47992818	76.37204786	230.9355432	1	1
PLCL1	1	16.16547945	58.2283912	1.244952962	5.708433734	17.64052948
PLD4	71.40755411	1	1	1	14.57487362	1
PLEKHB1	6.273301318	35.25751512	48.63673964	2.492985517	1	1
PLEKHF1	2.080692809	25.16264138	10.84795726	102.029237	1	1
PLEKHG1	208.5730929	3.00862303	1.775301995	1	1	1
PLEKHG5	1	13.47976251	25.29663781	1	1	1
PLIN5	1	1	1	1	2.470150616	94.22855724
PLXDC1	1	65.07067659	72.77865834	14.59792463	1	1.006152898
PLXNB2	6.950991562	8.367425409	1.30473885	1.30473885	910.2178092	1
PNOC	48.08727424	1	1	1	2.149729853	1
POU2AF1	389.5810625	1	3.108710315	1	1	1
PPP2R2B	1	16.02970626	2.729069184	32.66844925	1	1
PRAM1	1	1.902392149	1.494489544	2.543015819	287.3560167	145.2672787
PRF1	1	315.8132408	13.35477762	2699.74063	1	1
PRKCA	1	27.28906802	60.33431983	7.126325777	9.155949132	1
PRKCH	1	361.3355628	281.3596806	585.7858645	8.364459951	17.66232978
PRKCQ	1	109.4585553	110.2580761	79.98633873	1	1
PRKCQ-AS1	1	55.30191211	84.11219856	12.78788637	1	1
PROK2	1	1.490915118	1	1	29.47400068	321.6579286
PRR5L	2.827368352	54.2735316	13.34644146	205.709565	8.034998823	29.27611165
PRSS23	1	19.88390541	1	210.5510568	1	1
PRSS30P	1	2.730607711	1	22.64030621	1	1
PTAFR	4.771299135	1.304785488	1.485406224	1.937180319	347.9444162	631.6615693
PTCH1	5.107646095	69.15760845	17.65190414	89.68210556	1	1
PTGDR	1	12.65946077	1.401498234	104.0284849	1	1
PTGDS	1	25.21257923	8.893022241	123.2070837	1	1
PTGS2	1	1	1	1	514.634867	564.0208737
PTK7	1	11.18044988	1	3.705058158	1	1
PTPRK	60.70070105	3.581080785	1	1	1	1
PYGL	1	1	1	1.922807889	203.6684014	663.523083
PYHIN1	5.976429889	82.55589533	42.38920466	220.8230008	1	1
QPCT	1	1	1	1	82.7549189	243.0836516
RAB27B	1	2.321944344	2.199675321	30.36049956	1	1
RAB30	217.7025997	17.99880759	20.23270843	4.850949305	1	1
RALGPS2	837.3851789	7.824010143	11.40898353	9.384138058	7.365714457	50.07101251
RASGRF2	1	67.4576452	72.3057531	5.461127778	1	1
RASGRP1	47.79009952	237.5241883	302.1375319	139.9631711	1	1
RASGRP3	161.7677068	3.544651073	4.726253554	2.637021637	1.851637466	6.167732193
RASGRP4	1.386285032	1	1.967809251	2.048995287	222.2115596	487.5543469
RASSF4	1	7.615053057	1	147.9295088	312.2116787	6.467535013
RBM47	6.254730573	1	1	1	145.3920606	276.4780489
RCAN3	33.41355619	140.2327438	281.0207555	2.768625824	12.50091567	1
RGS18	1	1	1	1.301856471	41.53988189	175.1443126
RGS9	1	7.284192011	1	24.55350549	1	1
RHOBTB3	1.766860954	1.204941391	1.222451904	47.1827956	1.858305384	1
RHPN1	6.400303163	74.56424318	93.96327811	1.572893675	1.805708538	12.79802438
RIN2	1	1	1	1	59.52258452	1
RNF157	1	108.0852665	138.0579276	10.61808049	1	1
RNF165	1	1.765864299	1	68.16063108	1	1
RORA	6.732155885	345.0009105	366.9361771	440.4997335	1	1
RTKN2	1	3.016292319	29.86245168	1	1	1
RUBCNL	149.6187338	1	1	1	5.286334105	65.25158961
S100A12	1	1	1	1	240.3403803	254.4976172
S100A8	3.036517478	1	1	1	1677.455222	3975.469209
S100A9	8.179067395	3.214200853	2.983968186	3.215920043	4544.467169	8701.441611
S100B	1	14.19213157	1	5.460731843	1	1
S100P	1	1	1	1	6.923310926	215.6834404
S1PR1	116.0299415	340.4512241	404.4432753	132.4604346	1	1
S1PR3	1	1	1	1	62.22390462	1
S1PR5	1	50.35910293	1	406.4814203	1	1
SAMD3	1.731606039	127.1170008	45.93533192	246.0828368	1	1
SBK1	1.812211062	80.29985051	51.51698722	169.6931462	1	1
SCN3A	58.67997335	1	1	1	1	1
SECTM1	1	1.270363448	2.844921212	1.494489544	251.0486739	431.3725833
SERPINA1	2.893955632	1.854910092	1	1	1502.063717	2050.529137
SGK1	34.27193666	20.70404988	35.75104049	3.546494626	1379.06427	222.370075
SH2D1A	1	35.59869324	26.00173127	39.66581914	1	1
SH2D1B	1	1.370362458	1	365.2449373	1	1
SH2D2A	1	59.5304571	29.13567378	224.421289	1	1
SHTN1	1	1	1	1	88.5427355	1
SIGLEC1	1	1	1	1	77.8395918	1
SIGLEC17P	1	7.192145716	1	40.83326863	2.258900392	6.824094734
SIGLEC5	6.857018521	1	1	1	56.79766778	279.1402896
SIRPA	2.366890422	1	1	1	404.8261809	658.6302489
SIRPB1	1	4.890424726	3.93152468	1	198.1195123	406.8812196
SIRPB2	1	1	1	1	131.9455594	198.0304571
SIRPG	1	42.09414411	57.0163226	1	1	1
SLA2	1	74.90793802	55.03933394	99.63634181	1	5.827128609
SLAMF1	55.01677943	43.04700707	86.93740887	1	1	1
SLAMF7	7.905597456	96.84398587	2.489865273	252.5171063	21.06960295	20.1137483
SLC11A1	3.865802492	1.987833865	2.322261068	2.39318761	964.6757077	1035.901696
SLC1A7	1	2.286208138	1	20.83351516	1	1
SLC22A17	1	10.12507594	19.48865157	1	1	1
SLC24A4	1	1	1	1	94.90009885	30.41426731
SLC38A11	51.55003697	1	1	1	1.021706086	2.55298638
SLC4A10	1	26.4053302	1.982327508	2.886305844	1	1.024839673
SLC7A7	55.14239101	1.053527538	1.1069325	1.086380956	511.2827546	74.29520822
SLC9A7	65.13264959	1	2.615481007	1	3.166781791	9.425238836
SLFN12L	1.84500535	59.1668126	44.36798964	99.57222077	1	1
SLFN13	19.63607056	62.15124468	45.93878387	323.9012934	2.698846506	10.32291179
SLPI	1	1	1	1	1	63.39049797
SNPH	2.764363336	27.02928007	36.30123347	7.643080441	1	1
SNX22	312.6876197	2.434975599	1.499524425	3.657758745	2.564151085	9.563861082
SORT1	1	1	1	1.30473885	169.5472298	64.77633969
SPEG	1	28.94574878	18.14078436	1	1	1
SPI1	108.3121606	1	1	6.607559675	920.0524181	1307.025577
SPOCK2	284.3729624	1664.854229	1495.664013	586.4674267	1	35.6617836
SPON2	1.764207565	59.03654702	4.685484233	1697.965209	1	1
ST6GALNAC2	1	1	1	1	9.137319524	104.371263
STAB1	1.647070752	1	1	1	878.5483174	1
STAP1	118.5765467	1	3.26211994	4.422018408	1	1
STAT4	1.572893675	157.062394	103.3226127	231.0558632	1	1
STEAP4	1	1	1	1	33.90199266	521.1477813
STMN3	73.05243745	185.2914876	254.8829334	14.73698269	4.830498106	9.75998949
SULF2	5.87096901	1.831812299	1.848321408	4.718529799	561.3393218	315.9984135
SWAP70	337.8659069	2.651150578	3.572750861	7.545764474	33.53380635	13.33314345
SYNPO	122.7903746	1	1	1	1	1
SYTL2	1	57.09164261	19.2635732	123.4294756	1	1
TBC1D27	69.2558921	1	1	1	1	1
TBC1D4	5.17261527	135.6916989	365.3817679	2.755896246	10.06699201	1
TBC1D9	214.156465	1	1	1	113.2290236	1
TBX21	4.32905776	123.4171007	11.63169233	434.8474856	1	1
TC2N	9.452655938	289.9906922	322.6972667	94.4293242	1	1
TCEA3	1	12.39301598	31.16310033	1	1.009248276	2.488512873
TCF4	269.5701381	1	1	12.28722909	15.97034947	1
TCF7	33.91075565	1015.530316	1553.870473	102.3007901	1.636764932	4.139545042
TCL1A	513.1886139	1	1	1	1	1
TCL6	84.21732341	1	1	1	1	1
TCN2	1	1	1	1	46.53821246	1
TESPA1	15.27133103	123.3553675	249.5262098	42.28873017	1	1
TFEC	17.5035626	1	1	1	122.2620796	11.99712737
TGFBI	2.504263318	1.978432437	2.678833161	1	788.9388896	1
TGFBR3	1	157.2791329	33.54981317	473.461784	1	1
THBD	1	1	1	1	43.52643055	139.50315
THBS1	1	6.231509903	1.828602373	17.59708025	301.1189592	1
THEM4	8.828794972	40.86640711	86.41983533	11.40689877	2.947985684	1
THEMIS	1	166.3685796	88.77458125	1	1	1
TIAM1	1	15.80580358	122.906369	8.90424635	72.22267271	1
TIGIT	1	48.14292616	40.25902632	54.71449996	1	1
TKTL1	1	2.488949069	2.591887728	38.95383081	1	1.851637466
TLE1	168.0061643	8.729237818	1	101.2904928	2.054748655	4.868116592
TLE2	2.357292488	22.68298191	33.74347753	5.29136331	1	1
TLR2	3.539250259	1	2.371129208	1.30473885	233.2764825	322.2477697
TLR4	3.092376329	1	1	2.200260327	265.1459091	511.8716568
TLR8	1	1	1	1	124.5359549	327.1388625
TMEM176A	1	1	1	1	124.518774	1
TMEM176B	1	1	1	1	239.9655473	1
TMEM204	1	20.09719074	41.69477039	5.051452862	1	1
TNFAIP2	3.013876209	1	1	2.657091415	1472.076158	1730.280981
TNFAIP6	1	1	1	1	2.431811927	90.45910854
TNFRSF10C	1	1	1	1	16.18149371	1148.262372
TNFRSF13B	44.60021433	1	1	1	1	1
TNFRSF13C	228.4496815	4.077309316	2.497474239	1	1	1
TNFRSF18	3.357312117	2.59304051	8.352141654	43.20130547	1	1
TNFRSF25	3.015447462	299.0347122	450.5805393	58.60621385	1	1
TOX	3.259286935	24.07791033	12.93049327	73.62552103	1	1
TPD52	172.5683898	21.19109964	21.79681065	26.06377935	1	1
TRABD2A	10.79981027	206.5579349	324.2489777	1.758839484	1	1
TRAT1	1	30.46735563	112.2189065	1.577620053	1	1
TRBC2	137.4320617	998.6079651	1214.17567	309.8551754	1	1
TRBV19	1	18.63503637	25.92648538	1	1	1
TRBV20-1	1	19.35651943	39.0389262	1	1	1
TRBV29-1	1	17.52317996	24.33611627	1	1	1
TRBV5-1	1	10.7285219	34.57155574	1	1	1
TRDC	1	4.685067617	1.609477701	181.3216052	1	1
TREM1	1	1	1	1	199.4472624	443.3747276
TRGC1	1	33.11301248	4.744395013	59.90143486	1	1
TRGC2	1	75.76740056	7.647178417	23.80405498	1	1
TRIB1	12.43384653	1.769780796	6.728612858	1	740.167435	289.5487538
TRIB2	203.9974644	142.6359719	371.5699149	143.20339	2.219485488	6.238439407
TRPM6	1	1	1	3.42298164	1	84.95075988
TSHZ2	1.450167065	1.314008802	35.59055379	1	1	1
TSPAN13	123.4092297	1	1	1	1	12.16869974
TSPAN18	1.90214724	16.80258238	78.86879427	2.003644913	1	1
TSPAN33	131.0283753	4.905656872	3.828264057	2.706120728	15.93724973	1
TSPOAP1	12.76248737	135.6506084	32.66911557	907.772855	24.77528633	19.19675433
TTC16	1	84.03242265	19.34986787	31.14824205	1	1
TTC24	16.44543369	27.04476467	2.269854231	3.353205201	1	1
TTC38	4.573615768	41.49419799	5.669829203	427.8348797	19.63979078	17.64052948
TXK	1	75.71774872	94.12232048	235.4460767	1	1
TYROBP	1.649953131	10.75745844	1	238.5766354	823.2932517	715.9287066
UBASH3A	1	80.7973948	126.3961714	1	1	1
VAV2	132.841881	2.199200439	1.86165733	2.066532599	39.76622768	1
VCAN	5.631909356	1	1	1	2514.269931	5.956174855
VENTX	1.527948961	1	1	1	69.35925628	7.103922379
VIPR1	2.366890422	65.45997414	111.783809	1	63.06204685	4.306452366
VNN3	1	1	1	1	18.77589529	177.3113484
VPREB3	69.32469871	1	1	1	1	1.805708538
VSIG1	2.671364898	12.6025382	34.11221071	1	1	1
WDFY3	1	1	1	1	85.80491977	260.6035214
WDFY4	730.8690222	1	1	1	110.5409481	157.6194318
WLS	1	1	1	1	40.5110412	117.7146119
YES1	1	12.31433013	4.516226898	42.93807035	1	1
ZAP70	7.545648178	1125.563835	855.8808467	2367.898466	1	1
ZNF385A	12.98805378	1.171183317	1	1.775301995	429.9058971	21.70176375
ZNF683	1	21.77482444	1	16.35126551	1	1
ZNF703	40.68562668	1.750263533	1	1	131.6446014	1
